district_name,county_name,need_score,birth_cohort,subsidy_cost,averted_societal,net_benefit,benefit_cost_ratio
Ajkai,Veszprém,0.10103292928688333,324.0538591051697,7971724.933987174,908836.1468308093,-7062888.787156365,0.11400746442667857
Mosonmagyaróvári,Győr-Moson-Sopron,0.09594167454645686,811.0708813783114,19952343.681906458,6403375.464493051,-13548968.217413407,0.3209334986696262
Budapest 16. ker.,főváros,0.09487978725081697,572.9360581954635,14094227.0316084,4558290.461989461,-9535936.56961894,0.32341542759080133
Monori,Pest,0.09414582793704968,834.8907927690783,20538313.502119325,3289431.4883619794,-17248882.013757344,0.16016073997616925
Aszódi,Pest,0.08914754524904137,420.9136691166621,10354476.260269888,1658380.5799105028,-8696095.680359386,0.16016073997616923
Budapest 12. ker.,főváros,0.0794012772266034,414.12492015205004,10187473.035740431,3294785.947923749,-6892687.087816682,0.3234154275908012
Soproni,Győr-Moson-Sopron,0.07683391316818682,1011.346883993411,24879133.34623791,7984547.308676298,-16894586.03756161,0.3209334986696262
Gödöllői,Pest,0.07597530400326696,1781.584382210032,43826975.80236678,7019360.875424728,-36807614.92694205,0.16016073997616925
Szentendrei,Pest,0.06304674697659352,960.5666803694453,23629940.337088354,3784588.7299808008,-19845351.607107554,0.16016073997616925
Szigetszentmiklósi,Pest,0.06050610957070706,1451.9876924482337,35718897.23422655,5720765.012166468,-29998132.222060077,0.16016073997616923
Dunakeszi,Pest,0.05667382374940899,980.7286786107302,24125925.49382396,3864026.079700772,-20261899.41412319,0.16016073997616925
Pannonhalmi,Győr-Moson-Sopron,0.056295943707134304,155.84968112449283,3833902.155662523,1230427.6323737958,-2603474.5232887273,0.32093349866962634
Budapest 02. ker.,főváros,0.05472541328992005,636.0822707726679,15647623.86100763,5060682.961787808,-10586940.899219822,0.3234154275908013
Balatonalmádi,Veszprém,0.053708284650792075,235.05493187108408,5782351.324028669,659231.212876756,-5123120.111151913,0.11400746442667853
Csornai,Győr-Moson-Sopron,0.04644016115849436,308.1535995009091,7580578.547722364,2432861.5952604525,-5147716.952461911,0.3209334986696262
Szobi,Pest,0.04221091526138252,274.73492109003496,6758479.05881486,1082443.007173232,-5676036.051641628,0.16016073997616928
Vecsési,Pest,0.03847818061562793,571.8474446236937,14067447.137742864,2253052.7431565416,-11814394.394586323,0.16016073997616928
Balatonfüredi,Veszprém,0.03557545771757518,221.7949906922683,5456156.7710298,622042.5989795614,-4834114.172050239,0.11400746442667857
Érdi,Pest,0.026261321747605655,1454.8679779112745,35789752.25661735,5732113.204983609,-30057639.051633745,0.16016073997616925
Budakeszi,Pest,0.020482071749891965,1057.0988511544303,26004631.738398988,4164921.062029758,-21839710.67636923,0.16016073997616923
Pilisvörösvári,Pest,0.0,628.0897051446065,15451006.746557318,2474644.6739054043,-12976362.072651913,0.1601607399761693
